"filename", "language", "C++", "Markdown", "Python", "CMake", "YAML", "LaTeX", "JSON", "HTML", "toml", "Shell Script", "PostCSS", "XML", "Properties", "reStructuredText", "JavaScript", "Makefile", "comment", "blank", "total"
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/trajectories/trajectory-base.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/trajectories/trajectory-euclidian.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/trajectories/trajectory-se3.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/bindings/python/tsid/__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 6, 29, 178
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/_static/css/cmake.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/cmake.py", "Python", 0, 0, 548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 122, 775
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/conf.py", "Python", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 81, 334
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/examples/minimal-hpp.cmake", "CMake", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/examples/minimal-with-packages.cmake", "CMake", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/examples/minimal.cmake", "CMake", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/index.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 12, 40
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/pages/base.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 8, 10, 25
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/pages/cmake-packages.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 12, 34
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/pages/dependencies.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 13, 19, 55
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/pages/developers.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 8, 32, 102
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/pages/internal.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6, 4, 14
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/pages/other.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 9, 12, 39
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.docs/pages/projects.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 9, 23
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.github/dependabot.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.github/workflows/cmake.yml", "YAML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.github/workflows/nix.yml", "YAML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.github/workflows/rosdep.yml", "YAML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 29
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.github/workflows/update-flake-lock.yml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/.pre-commit-config.yaml", "YAML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/CMakeLists.txt", "CMake", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 137
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/GNUInstallDirs.cmake", "CMake", 0, 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 380
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/README.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 43
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/_unittests/catkin/CMakeLists.txt", "CMake", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/_unittests/cpp/CMakeLists.txt", "CMake", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/_unittests/cpp/include/jrl_cmakemodule/lib.hh", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/_unittests/cpp/src/lib.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/_unittests/cpp/src/main.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/kaede-rei/ros2-workspace/arm-ws/src/tsid/cmake/_unittests/dependency/CMakeLists.txt", "CMake", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21
